id_task,application_type,creation_date,completion_date,time_compute (s),time_env (s),time_dl (s),time_up (s),mobo_uuid,qrad_uuid,qbox_uuid,cpu_name,nb_cores,status,dataset,dataset_size,node_id
1321719,3DRender,2021-10-16 16:43:01,2021-10-16 16:54:35,608,77,5,3,4F424F4D-58D8-01D7-384B-00D8619C7654,44415251-58D8-01D7-384B-000000000000,584f4251-4000-0000-1001-000000000001,AMD Ryzen 7 2700X Eight-Core Processor,8,Completed,ds1,156,2
1205176,3DRender,2021-09-27 12:27:39,2021-09-27 19:24:34,24902,94,13,2,4F424F4D-58D8-01D7-3863-00D8611555DD,44415251-58D8-01D7-3863-000000000000,584f4251-4000-0000-1001-000000000003,AMD Ryzen 7 2700X Eight-Core Processor,8,Completed,ds101,231,0
2743625,3DRender,2022-06-09 10:16:51,2022-06-09 10:17:18,25,1,1,1,4F424F4D-58D8-01D7-3695-00D8617B0BC0,44415251-58D8-01D7-3695-000000000000,584f4251-4000-0000-1001-000000000006,AMD Ryzen Threadripper 2950X 16-Core Processor,16,Completed,ds6,143,2
286797,3DRender,2021-04-22 02:48:45,2021-04-22 02:55:38,34,366,2,1,4F424F4D-58D8-01D7-36C2-049226DA64DD,44415251-58D8-01D7-36C2-000000000000,584f4251-4000-0000-1000-000000000004,AMD Ryzen Threadripper 2950X 16-Core Processor,16,Failed,ds22,161,3
3255824,3DRender,2022-08-12 10:53:33,2022-08-12 10:54:41,67,1,1,1,4F424F4D-58D8-00D7-A59A-00D8619C76C0,44415251-58D8-00D7-A59A-000000000000,584f4251-4000-0000-1000-000000000019,AMD Ryzen 7 2700X Eight-Core Processor,8,Completed,ds2,204,4
2461428,Risk,2022-04-27 08:45:38,2022-04-28 11:28:46,96074,108,3,1,4F424F4D-58D8-01D7-3842-00D8619C7361,44415251-58D8-01D7-3842-000000000000,584f4251-4000-0000-1001-000000000005,AMD Ryzen 7 2700X Eight-Core Processor,8,Cancelled,ds27,131,0
2629405,3DRender,2022-05-25 10:22:07,2022-05-25 10:24:24,92,38,1,6,4F424F4D-ADF0-084E-ABC1-049226DA3D56,44415251-ADF0-084E-ABC1-000000000000,584f4251-4000-0000-1000-000000000016,AMD Ryzen Threadripper 2990WX 32-Core Processor,32,Completed,ds1,156,1
3450602,3DRender,2022-09-22 14:37:49,2022-09-22 14:40:43,171,1,1,1,4F424F4D-58D8-00D7-B137-00D861156AC1,44415251-58D8-00D7-B137-000000000000,584f4251-4000-0000-1001-000000000005,AMD Ryzen 7 2700X Eight-Core Processor,8,Completed,ds829,222,1
2922806,Risk,2022-06-27 18:02:17,2022-06-27 18:09:30,319,111,1,1,4F424F4D-58D8-01D7-35BD-00D861156B41,44415251-58D8-01D7-35BD-000000000000,584f4251-4000-0000-1001-000000000003,AMD Ryzen 7 2700X Eight-Core Processor,8,Preempted,ds650,185,3
2039033,3DRender,2022-02-24 11:53:03,2022-02-24 11:56:58,231,1,1,2,4F424F4D-58D8-00D7-AF51-049226D9B662,44415251-58D8-00D7-AF51-000000000000,584f4251-4000-0000-1000-000000000006,AMD Ryzen Threadripper 2990WX 32-Core Processor,32,Completed,ds5,84,3
