id_task,application_type,creation_date,completion_date,time_compute (s),time_env (s),time_dl (s),time_up (s),mobo_uuid,qrad_uuid,qbox_uuid,cpu_name,nb_cores,status,dataset,dataset_size,node_id
478041,3DRender,2021-05-14 03:15:06,2021-05-14 03:18:08,179,1,1,1,4F424F4D-58D8-01D7-37A3-00D8611555D2,44415251-58D8-01D7-37A3-000000000000,584f4251-4000-0000-1001-000000000003,AMD Ryzen 7 2700X Eight-Core Processor,8,Completed,ds823,957,5
1746312,Risk,2022-01-19 03:10:10,2022-01-19 03:11:48,0,92,1,1,4F424F4D-58D8-01D7-3B03-00D861C8FA9F,44415251-58D8-01D7-3B03-000000000000,584f4251-3000-0000-2000-000000000002,AMD Ryzen 7 2700 Eight-Core Processor,8,Preempted,ds94,342,7
852420,3DRender,2021-07-11 13:13:45,2021-07-11 13:17:33,111,104,10,2,4F424F4D-58D8-01D7-37A3-00D8611555BD,44415251-58D8-01D7-37A3-000000000000,584f4251-4000-0000-1001-000000000003,AMD Ryzen 7 2700X Eight-Core Processor,8,Completed,ds1,681,6
2788854,Risk,2022-06-14 11:11:35,2022-06-14 11:13:47,0,121,5,1,4F424F4D-58D8-00D7-B08F-00D8611556A5,44415251-58D8-00D7-B08F-000000000000,584f4251-4000-0000-1001-000000000001,AMD Ryzen 7 2700X Eight-Core Processor,8,Preempted,ds1,681,2
3553428,3DRender,2022-10-04 19:03:43,2022-10-04 19:05:03,77,1,1,1,4F424F4D-58D8-01D7-3A6D-00D861156981,44415251-58D8-01D7-3A6D-000000000000,584f4251-4000-0000-1001-000000000004,AMD Ryzen 7 2700X Eight-Core Processor,8,Completed,ds41,366,1
3029348,Risk,2022-07-11 13:35:03,2022-07-11 17:45:47,14692,124,222,0,4F424F4D-58D8-00D7-A3E7-00D8619C7543,44415251-58D8-00D7-A3E7-000000000000,584f4251-4000-0000-1000-000000000019,AMD Ryzen 7 2700X Eight-Core Processor,8,Preempted,ds614,381,3
3204967,3DRender,2022-08-03 09:38:18,2022-08-03 09:39:03,0,18,26,0,4F424F4D-58D8-01D7-38BD-00D8615783D5,44415251-58D8-01D7-38BD-000000000000,584f4251-4000-0000-1000-000000000006,AMD Ryzen Threadripper 2990WX 32-Core Processor,32,Cancelled,ds1,681,5
2777223,Risk,2022-06-13 11:33:04,2022-06-13 11:38:24,139,123,56,1,4F424F4D-58D8-00D7-B158-00D861156B31,44415251-58D8-00D7-B158-000000000000,584f4251-4000-0000-1001-000000000005,AMD Ryzen 7 2700X Eight-Core Processor,8,Preempted,ds1,681,1
304496,3DRender,2021-04-23 17:20:19,2021-04-23 17:20:38,0,12,1,0,4F424F4D-58D8-01D7-36C2-049226DA65C2,44415251-58D8-01D7-36C2-000000000000,584f4251-4000-0000-1000-000000000004,AMD Ryzen Threadripper 2950X 16-Core Processor,16,Preempted,ds2,438,4
1407255,Risk,2021-10-27 04:32:25,2021-10-27 04:38:40,109,75,1,2,4F424F4D-58D8-01D7-3863-00D861155590,44415251-58D8-01D7-3863-000000000000,584f4251-4000-0000-1001-000000000003,AMD Ryzen 7 2700X Eight-Core Processor,8,Preempted,ds70,921,2
