0 8780 {'CACHE_SIZE': 120, 'infos': [{'latency': np.float64(2.0), 'id': 1, 'ip': 'localhost', 'rep_port': 8781}], 'SITE_ID': 0, 'REP_PORT': 8780, 'IP_ADDRESS': 'localhost'}
Task(id_task=12, id_node=0, infos={'time': 0, 'application_type': '3DRender'}, id_dataset=ds959, ds_size=984)
Task(id_task=14, id_node=0, infos={'time': 103, 'application_type': '3DRender'}, id_dataset=ds480, ds_size=200)
Task(id_task=21, id_node=0, infos={'time': 122, 'application_type': '3DRender'}, id_dataset=ds376, ds_size=177)
Task(id_task=32, id_node=0, infos={'time': 111, 'application_type': '3DRender'}, id_dataset=ds965, ds_size=445)
Task(id_task=34, id_node=0, infos={'time': 124, 'application_type': '3DRender'}, id_dataset=ds354, ds_size=424)
Task(id_task=36, id_node=0, infos={'time': 123, 'application_type': '3DRender'}, id_dataset=ds196, ds_size=608)
Task(id_task=38, id_node=0, infos={'time': 125, 'application_type': '3DRender'}, id_dataset=ds469, ds_size=267)
Task(id_task=40, id_node=0, infos={'time': 123, 'application_type': '3DRender'}, id_dataset=ds11, ds_size=795)
Task(id_task=42, id_node=0, infos={'time': 116, 'application_type': '3DRender'}, id_dataset=ds406, ds_size=481)
Task(id_task=45, id_node=0, infos={'time': 116, 'application_type': '3DRender'}, id_dataset=ds34, ds_size=629)
Task(id_task=47, id_node=0, infos={'time': 116, 'application_type': '3DRender'}, id_dataset=ds923, ds_size=220)
Task(id_task=49, id_node=0, infos={'time': 116, 'application_type': '3DRender'}, id_dataset=ds831, ds_size=786)
Task(id_task=51, id_node=0, infos={'time': 119, 'application_type': '3DRender'}, id_dataset=ds211, ds_size=284)
Task(id_task=54, id_node=0, infos={'time': 113, 'application_type': '3DRender'}, id_dataset=ds959, ds_size=984)
Task(id_task=56, id_node=0, infos={'time': 114, 'application_type': '3DRender'}, id_dataset=ds424, ds_size=257)
Task(id_task=58, id_node=0, infos={'time': 112, 'application_type': '3DRender'}, id_dataset=ds579, ds_size=617)
Task(id_task=60, id_node=0, infos={'time': 112, 'application_type': '3DRender'}, id_dataset=ds516, ds_size=262)
